update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,return_bolt_mean,return_bolt_std,return_bolt_min,return_bolt_max,return_vanilla_mean,return_vanilla_std,return_vanilla_min,return_vanilla_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
4120,782653,10547200,235.6160954129679,60692,1.7363502329812859,1.122332849985565,0.0,3.6624999046325684,1.094354363263778,1.042745712833942,0.0,2.746875047683716,0.6419958723884709,0.2327394478750092,0.0,0.9859374761581421,0.9528301886792453,25.12264150943396,15.670367920322644,1.0,64.0,0.35566235333681107,31.683724975585935,2.733311330154538,160.16452655792236,82.81201553344727,224.61449432373047
4130,783638,10572800,234.2006900242855,60802,1.9132733670147983,1.1072786266146668,0.0,3.606250047683716,1.2704545458157857,1.0162254496876375,0.0,2.7046875953674316,0.6428188162319588,0.24936590220768942,0.0,0.9859374761581421,0.9494949494949495,25.04040404040404,16.85344984132101,1.0,64.0,0.35807950124144555,32.84682531356812,4.015815591812133,155.08983516693115,81.55715942382812,321.1162109375
4140,784557,10598400,232.1626130999998,60911,1.6731284291862132,1.128572362685873,0.0,3.4937500953674316,1.1047561790916947,0.992726755832742,0.0,2.620312452316284,0.5683722509132637,0.27080055268996156,0.0,0.9296875,0.8901098901098901,29.912087912087912,17.68071424123425,5.0,64.0,0.3870544992387295,31.20833158493042,3.896202957630157,143.53257179260254,75.65861511230469,138.80556106567383
4150,785510,10624000,232.20273309509602,61021,1.924435765379005,1.0948370175957687,0.0,3.606250047683716,1.2399739529247638,1.0483062046977385,0.0,2.7046875953674316,0.6844618055555556,0.1987400431315019,0.0,0.9859374761581421,0.9722222222222222,22.24074074074074,13.485843311475685,1.0,64.0,0.351675371825695,33.19397835731506,0.8259710267186164,146.68688240051267,74.1658935546875,279.5860824584961
4160,786485,10649600,235.23865880322015,61145,1.6373295399275694,1.130328630119848,0.0,3.606250047683716,0.9891477294943549,1.0516026827899503,0.0,2.7046875953674316,0.6481818159872835,0.2540645721267494,0.0,0.9859374761581421,0.9181818181818182,24.436363636363637,16.630490766676004,1.0,64.0,0.42267564386129375,29.8400821685791,2.7264905640855432,131.90639038085936,68.67546081542969,383.0742950439453
4170,787601,10675200,234.5875103063626,61254,1.9001191691574404,1.1136770926986501,0.0,3.4937500953674316,1.2216101804022061,1.0535117213763354,0.0,2.620312452316284,0.678509001635899,0.2309210461777751,0.0,0.9859374761581421,0.9491525423728814,22.5,15.401271133980236,1.0,64.0,0.3644181117415428,32.11152906417847,1.4391728535294532,125.348903465271,64.10997772216797,214.65364837646484
4180,788700,10700800,234.45808871717074,61364,1.980198601835242,1.0371904587858385,0.0,3.4937500953674316,1.2982622630128235,1.007024133044595,0.0,2.620312452316284,0.6819363321377853,0.1805800763923733,0.0,0.9859374761581421,0.9906542056074766,22.55140186915888,12.606357723153371,1.0,64.0,0.3569201402366161,31.551307010650635,0.24385308884084225,106.19862232208251,53.33959770202637,292.3287124633789
4190,789796,10726400,235.4926122965079,61473,1.9670380461475123,1.0501502952509238,0.0,3.6624999046325684,1.275570655387381,1.025045908018144,0.0,2.746875047683716,0.6914673910192821,0.17586310279506823,0.0,0.9859374761581421,0.991304347826087,21.878260869565217,12.278045323887076,1.0,64.0,0.35891181156039237,31.782032775878907,0.4797306690365076,119.96914348602294,60.46071434020996,254.75454711914062
4200,790814,10752000,234.16993187636763,61583,1.842724119623502,1.1309916931248498,0.0,3.6624999046325684,1.2323390155127554,1.0122151018982386,0.0,2.746875047683716,0.6103851023045453,0.25193843917601294,0.0,0.9859374761581421,0.9191919191919192,27.13131313131313,16.578339564628617,1.0,64.0,0.34844759330153463,28.3921950340271,1.3024540424346924,100.17690696716309,51.38742446899414,255.9505386352539
4210,791843,10777600,234.93550848111062,61708,1.822023023115961,1.1256897323545352,0.0,3.4375,1.1907236820773075,1.0302617790025712,0.0,2.578125,0.6312993413523624,0.2372819129920845,0.0,0.957812488079071,0.9263157894736842,25.694736842105264,15.527953526470306,3.0,64.0,0.3938825324177742,30.348071098327637,2.1629536829888822,147.74685344696047,76.03244400024414,378.1372528076172
