update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,return_bolt_mean,return_bolt_std,return_bolt_min,return_bolt_max,return_vanilla_mean,return_vanilla_std,return_vanilla_min,return_vanilla_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
2943,1064373,7534080,724.7526315217518,10748,0.9407148799010082,0.11227227955294507,0.5718749761581421,1.3523437976837158,0.04861034312255263,0.13019336994469263,0.0,0.4507812559604645,0.8921045368224119,0.07164251613615018,0.3812499940395355,0.9859374761581421,1.0,7.672566371681416,5.094578895424135,1.0,44.0,0.07341740243136882,18.032687044143678,0.021210982650518417,2.3927138388156894,1.216833770275116,2.724412679672241
2944,1064736,7536640,724.9827717799649,10751,0.9443117275054133,0.1047644338592921,0.535937488079071,1.373437523841858,0.039959969024684475,0.12084999301321754,0.0,0.45781248807907104,0.9043517577418283,0.06197194503063035,0.535937488079071,0.9859374761581421,1.0,6.801652892561983,4.406893863186371,1.0,33.0,0.07454486396163702,17.887094068527222,-0.03151364598888903,2.7346911191940304,1.335086464881897,10.40739369392395
2945,1065088,7539200,733.7603998301968,10755,0.9438210234723308,0.11315886220406667,0.578125,1.3523437976837158,0.046413352374326096,0.12838652882651416,0.0,0.4507812559604645,0.8974076714366674,0.07124622165188499,0.578125,0.9859374761581421,1.0,7.295454545454546,5.066397973881648,1.0,30.0,0.07960387272760272,17.996824645996092,-0.0224400996696204,2.7065788209438324,1.3300533890724182,3.2422854900360107
2946,1065436,7541760,735.7863321894152,10758,0.9426342505833198,0.10926448495790617,0.5218750238418579,1.415624976158142,0.04846668466069232,0.12987956332301737,0.0,0.47187501192092896,0.8941675660939052,0.06981274646323246,0.5218750238418579,0.9859374761581421,1.0,7.525862068965517,4.964461992756794,1.0,34.0,0.07555700680240988,18.161136865615845,0.05166230266913771,2.7722429603338243,1.4370282292366028,7.635070085525513
2947,1065795,7544320,735.5078162728242,10762,0.9369102557057458,0.10819356142989527,0.4375,1.39453125,0.03754134758435252,0.1171970315826902,0.0,0.46484375,0.8993689083289303,0.07014097514734183,0.3531250059604645,0.9859374761581421,1.0,7.155988857938719,4.9878025662597425,1.0,46.0,0.08589398823678493,17.953643274307254,0.16945608900859951,2.270550037920475,1.3038721680641174,3.7035611867904663
2948,1066159,7546880,729.1040904425965,10765,0.9350038647324175,0.09344126054177353,0.690625011920929,1.39453125,0.031586967899904145,0.10800165371197784,0.0,0.46484375,0.9034168969143878,0.05908415898915689,0.578125,0.9859374761581421,1.0,6.868131868131868,4.201540249257084,1.0,30.0,0.07575270403176546,17.93239974975586,0.06933603924699128,2.913763251900673,1.5254601836204529,3.2710258960723877
2949,1066508,7549440,727.4446401098177,10769,0.9372470454875924,0.11173267574144005,0.2554687559604645,1.373437523841858,0.04209124286229426,0.12243566756617758,0.0,0.45781248807907104,0.8951558032657492,0.07616742944375872,0.17031249403953552,0.9859374761581421,1.0,7.455587392550143,5.416350499662962,1.0,59.0,0.07627658434212209,17.90493788719177,0.04666965883225202,2.745430812239647,1.4186221957206726,4.264563202857971
2950,1066855,7552000,734.691176584292,10772,0.9447113656860263,0.10916059607191456,0.6625000238418579,1.3523437976837158,0.04618831043284633,0.12827849256052357,0.0,0.4507812559604645,0.8985230546519805,0.06409571361229723,0.6484375,0.9859374761581421,1.0,7.216138328530259,4.557917273421615,1.0,25.0,0.08160004215314984,18.07065987586975,-0.04964430211111903,2.645942059159279,1.2725107669830322,5.0094170570373535
2951,1067198,7554560,718.8473289873451,10780,0.9355502931439147,0.10363449453806363,0.578125,1.2890625,0.04079354964956945,0.11985235408177966,0.0,0.4296875,0.8947567444501048,0.07253500870566003,0.46562498807907104,0.9859374761581421,1.0,7.48396501457726,5.158044979489596,1.0,38.0,0.08266761349514126,17.88495512008667,0.02143079792149365,2.4644816905260085,1.2528451085090637,8.8618803024292
2952,1067570,7557120,727.2031826920329,10783,0.9388104859859713,0.09779307910735748,0.47968751192092896,1.39453125,0.03532006046784821,0.1135833652373939,0.0,0.46484375,0.9034904251175542,0.062371690997492193,0.47968751192092896,0.9859374761581421,1.0,6.862903225806452,4.435320133830194,1.0,37.0,0.06721712928265333,18.097367525100708,-0.07816220084205269,1.7043014749884606,0.7733163833618164,2.8842638731002808
2953,1067909,7559680,745.6281028000345,10787,0.9479443225185428,0.11252509726085484,0.4453125,1.3312499523162842,0.053973082595870206,0.1357221865602163,0.0,0.4437499940395355,0.8939712402743224,0.07353727515561245,0.296875,0.9859374761581421,1.0,7.539823008849558,5.229317284379437,1.0,50.0,0.08882244918495416,18.13262348175049,-0.03720594216138125,2.740178576111793,1.3319950103759766,5.690241098403931
2954,1068247,7562240,738.1047703619137,10790,0.9500809008553184,0.1257270096477994,0.5640624761581421,1.373437523841858,0.05767150505407322,0.1421340989722662,0.0,0.45781248807907104,0.8924093950076921,0.0665277830315545,0.5640624761581421,0.9859374761581421,1.0,7.650887573964497,4.730864518655048,1.0,31.0,0.08208312364295126,18.120900058746336,-0.11024811184033752,3.2615500330924987,1.5197060704231262,9.671658992767334
2955,1068594,7564800,740.5903096322168,10794,0.9357056026843508,0.10009469462840823,0.620312511920929,1.373437523841858,0.040505673768540966,0.11959436167252507,0.0,0.45781248807907104,0.8951999294311238,0.06680872404374347,0.5640624761581421,0.9859374761581421,1.0,7.452449567723343,4.750842612315787,1.0,31.0,0.07644021017476917,17.852270555496215,0.05907161822542548,2.559401860833168,1.3380082249641418,8.177345275878906
2956,1068933,7567360,737.7516990920311,10797,0.9377004980689305,0.1062484128344151,0.620312511920929,1.3523437976837158,0.04547151571529805,0.12643842645735312,0.0,0.4507812559604645,0.8922289833206695,0.06501323482708779,0.620312511920929,0.9859374761581421,1.0,7.663716814159292,4.623163341548472,1.0,27.0,0.08149126404896379,17.93605375289917,0.054775037430226804,2.199308101832867,1.1536141633987427,3.6514405012130737
2957,1069268,7569920,745.9859045628215,10801,0.9440158589562373,0.11054907901088659,0.676562488079071,1.39453125,0.049841417839278035,0.13202318519690331,0.0,0.46484375,0.8941744407611106,0.06532738849954924,0.676562488079071,0.9859374761581421,1.0,7.525373134328358,4.645503146876175,1.0,23.0,0.08968607466667891,18.134153747558592,0.1073606471531093,2.461587822437286,1.3372576832771301,4.499941110610962
2958,1069593,7572480,742.4824584374344,10804,0.9344423095996564,0.09892138577729227,0.690625011920929,1.3312499523162842,0.03984615385532379,0.11756186196960385,0.0,0.4437499940395355,0.8945961560652806,0.07498701282357008,0.4937500059604645,0.9859374761581421,1.0,7.495384615384616,5.3324097819691465,1.0,36.0,0.09525928720831871,17.8219717502594,0.21696185702458026,3.2267683833837513,1.8293936252593994,4.39065158367157
2959,1069941,7575040,741.7742560128903,10808,0.9323118722986901,0.10458815726682036,0.46562498807907104,1.373437523841858,0.03955863861516974,0.11876418265492099,0.0,0.45781248807907104,0.8927532333409649,0.06918589783517219,0.46562498807907104,0.9859374761581421,1.0,7.626436781609195,4.919885985271651,1.0,38.0,0.08160888305865228,17.737831306457522,0.1188998193014413,2.553941072523594,1.395054280757904,3.2166796922683716
2960,1070293,7577600,731.645173340071,10811,0.946275744587183,0.10945542983111385,0.6343749761581421,1.3523437976837158,0.045592152174900875,0.12776684806481417,0.0,0.4507812559604645,0.9006835945289243,0.0645932228210994,0.5921875238418579,0.9859374761581421,1.0,7.0625,4.593295818611374,1.0,29.0,0.08591003911569714,18.013543605804443,-0.1446482077240944,3.2259154856204986,1.4674504399299622,5.678147554397583
2961,1070627,7580160,737.9249468088652,10815,0.940950131166481,0.11396642170661604,0.38203126192092896,1.3312499523162842,0.05227123870107228,0.1337256857548223,0.0,0.4437499940395355,0.8886788926438657,0.074505797275385,0.25468748807907104,0.9859374761581421,1.0,7.916167664670659,5.298189922127223,1.0,53.0,0.08851038217544555,17.937314891815184,0.009259999729692936,2.963233233988285,1.4899915158748627,4.058708071708679
2962,1070964,7582720,745.0413514108744,10818,0.9421341792412257,0.10743859115634032,0.6343749761581421,1.3523437976837158,0.0474151520152474,0.1281049108186248,0.0,0.4507812559604645,0.8947190277123663,0.07309173125435219,0.4937500059604645,0.9859374761581421,1.0,7.486646884272997,5.197634108834058,1.0,36.0,0.0895567617379129,17.991321182250978,0.18335960190743208,3.1665956556797026,1.765761911869049,3.6607569456100464
